gene countsChrtob3_D6_0mM_1.txt countsChrtob3_D6_0mM_2.txt countsChrtob3_D6_0mM_3.txt countsChrtob3_D6_16mM_1.txt countsChrtob3_D6_16mM_2.txt countsChrtob3_D6_16mM_3.txt countsChrtob3_D6_32mM_1.txt countsChrtob3_D6_32mM_2.txt countsChrtob3_D6_32mM_3.txt countsChrtob3_D6_4mM_1.txt countsChrtob3_D6_4mM_2.txt countsChrtob3_D6_4mM_3.txt countsChrtob3_D6_8mM_1.txt countsChrtob3_D6_8mM_2.txt countsChrtob3_D6_8mM_3.txt countsChrtob3_L6_0mM_1.txt countsChrtob3_L6_0mM_2.txt countsChrtob3_L6_0mM_3.txt countsChrtob3_L6_16mM_1.txt countsChrtob3_L6_16mM_2.txt countsChrtob3_L6_16mM_3.txt countsChrtob3_L6_32mM_1.txt countsChrtob3_L6_32mM_2.txt countsChrtob3_L6_32mM_3.txt countsChrtob3_L6_4mM_1.txt countsChrtob3_L6_4mM_2.txt countsChrtob3_L6_4mM_3.txt countsChrtob3_L6_8mM_1.txt countsChrtob3_L6_8mM_2.txt countsChrtob3_L6_8mM_3.txt countsChrtob5_D6_0mM_1.txt countsChrtob5_D6_0mM_2.txt countsChrtob5_D6_0mM_3.txt countsChrtob5_D6_16mM_1.txt countsChrtob5_D6_16mM_2.txt countsChrtob5_D6_16mM_3.txt countsChrtob5_D6_32mM_1.txt countsChrtob5_D6_32mM_2.txt countsChrtob5_D6_32mM_3.txt countsChrtob5_D6_4mM_1.txt countsChrtob5_D6_4mM_2.txt countsChrtob5_D6_4mM_3.txt countsChrtob5_D6_8mM_1.txt countsChrtob5_D6_8mM_2.txt countsChrtob5_D6_8mM_3.txt countsChrtob5_L6_0mM_1.txt countsChrtob5_L6_0mM_2.txt countsChrtob5_L6_0mM_3.txt countsChrtob5_L6_16mM_1.txt countsChrtob5_L6_16mM_2.txt countsChrtob5_L6_16mM_3.txt countsChrtob5_L6_32mM_1.txt countsChrtob5_L6_32mM_2.txt countsChrtob5_L6_32mM_3.txt countsChrtob5_L6_4mM_1.txt countsChrtob5_L6_4mM_2.txt countsChrtob5_L6_4mM_3.txt countsChrtob5_L6_8mM_1.txt countsChrtob5_L6_8mM_2.txt countsChrtob5_L6_8mM_3.txt
BSY15_1018 2 10 1 0 3 9 0 7 0 3 1 2 1 3 4 1 3 13 0 8 1 7 4 0 0 14 8 11 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1132 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_168 4 11 2 0 5 2 1 2 0 7 0 7 2 5 1 2 6 6 2 2 1 1 7 0 0 2 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1804 2 4 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 3 0 1 0 1 0 0 0 4 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1805 2 7 2 1 2 2 1 2 5 6 0 0 2 3 3 6 0 7 2 1 0 2 1 1 2 2 2 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1806 4 6 7 0 1 3 2 1 3 5 3 2 4 4 3 6 8 5 3 2 3 3 1 1 3 4 3 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1807 12 35 7 1 12 13 7 25 6 16 2 17 11 17 13 14 27 28 6 11 3 26 21 5 9 41 20 28 9 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1809 15 86 11 6 40 37 2 49 9 37 10 16 23 27 19 27 64 41 16 28 9 28 30 4 18 52 28 51 20 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_1823 2 7 1 0 5 1 1 2 0 0 0 2 0 1 2 1 1 2 0 0 0 1 0 0 2 2 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BSY15_2285 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
