Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Gene names  (ordered locus )
A0A0M0JKF8	A0A0M0JKF8_9EUKA	unreviewed	HECT domain-containing protein	Ctob_001501	Chrysochromulina tobinii	691			ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
A0A0M0J9W2	A0A0M0J9W2_9EUKA	unreviewed	Uncharacterized protein	Ctob_011027	Chrysochromulina tobinii	70		integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]	integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; proton transmembrane transporter activity [GO:0015078]	proton transmembrane transporter activity [GO:0015078]	GO:0015078; GO:0016021; GO:0033179	
A0A0M0K814	A0A0M0K814_9EUKA	unreviewed	Uncharacterized protein	Ctob_011177	Chrysochromulina tobinii	400						
A0A0M0JMQ9	A0A0M0JMQ9_9EUKA	unreviewed	Uncharacterized protein	Ctob_014371	Chrysochromulina tobinii	309						
A0A0M0KE06	A0A0M0KE06_9EUKA	unreviewed	Uncharacterized protein	Ctob_013715	Chrysochromulina tobinii	303						
A0A0M0JM22	A0A0M0JM22_9EUKA	unreviewed	U-box domain-containing protein 52	Ctob_007663	Chrysochromulina tobinii	601			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
A0A0M0K803	A0A0M0K803_9EUKA	unreviewed	Tpr repeat-containing protein	Ctob_012655	Chrysochromulina tobinii	441		kinesin complex [GO:0005871]; microtubule [GO:0005874]	kinesin complex [GO:0005871]; microtubule [GO:0005874]		GO:0005871; GO:0005874	
A0A0M0JRI9	A0A0M0JRI9_9EUKA	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	Ctob_004692	Chrysochromulina tobinii	807		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; xenobiotic transmembrane transporter activity [GO:0042910]	antiporter activity [GO:0015297]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; xenobiotic transmembrane transporter activity [GO:0042910]	GO:0003755; GO:0015297; GO:0016021; GO:0042910	
A0A0M0J511	A0A0M0J511_9EUKA	unreviewed	Vrr-nuc domain-containing protein	Ctob_000368	Chrysochromulina tobinii	155			nuclease activity [GO:0004518]; nucleic acid binding [GO:0003676]	nuclease activity [GO:0004518]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004518	
A0A0M0LRY6	A0A0M0LRY6_9EUKA	unreviewed	Serine threonine-protein kinase	Ctob_008431	Chrysochromulina tobinii	593			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
A0A0M0JK30	A0A0M0JK30_9EUKA	unreviewed	Uncharacterized protein	Ctob_013444	Chrysochromulina tobinii	357	protein glycosylation [GO:0006486]	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]	fucosyltransferase activity [GO:0008417]	GO:0006486; GO:0008417; GO:0016021; GO:0032580	
A0A0M0J727	A0A0M0J727_9EUKA	unreviewed	Uncharacterized protein	Ctob_000696	Chrysochromulina tobinii	191		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JUF3	A0A0M0JUF3_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_005914	Chrysochromulina tobinii	54						
A0A0M0J5M3	A0A0M0J5M3_9EUKA	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	Ctob_002663	Chrysochromulina tobinii	429			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787	
A0A0M0KA54	A0A0M0KA54_9EUKA	unreviewed	Trafficking protein particle complex 8 (Fragment)	Ctob_013871	Chrysochromulina tobinii	207						
A0A0M0K8L9	A0A0M0K8L9_9EUKA	unreviewed	Ankyrin-2 isoform 2	Ctob_014724	Chrysochromulina tobinii	821						
A0A0M0JVZ9	A0A0M0JVZ9_9EUKA	unreviewed	Uncharacterized protein	Ctob_005916	Chrysochromulina tobinii	1410						
A0A0M0K8V9	A0A0M0K8V9_9EUKA	unreviewed	Uncharacterized protein	Ctob_009242	Chrysochromulina tobinii	1511		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JEC3	A0A0M0JEC3_9EUKA	unreviewed	Sorbitol dehydrogenase-like protein	Ctob_003768	Chrysochromulina tobinii	383			oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016491	
A0A0M0JYU7	A0A0M0JYU7_9EUKA	unreviewed	Uncharacterized protein	Ctob_006860	Chrysochromulina tobinii	928		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JPF6	A0A0M0JPF6_9EUKA	unreviewed	Methyltransferase type 11	Ctob_003201	Chrysochromulina tobinii	338	methylation [GO:0032259]		methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259	
A0A0M0JKF0	A0A0M0JKF0_9EUKA	unreviewed	Blue light receptor	Ctob_011504	Chrysochromulina tobinii	1029						
A0A0M0JTY4	A0A0M0JTY4_9EUKA	unreviewed	OTU domain-containing protein	Ctob_015054	Chrysochromulina tobinii	211						
A0A0M0K1N5	A0A0M0K1N5_9EUKA	unreviewed	Spermidine synthase-like protein	Ctob_011298	Chrysochromulina tobinii	287	polyamine biosynthetic process [GO:0006596]		transferase activity [GO:0016740]; polyamine biosynthetic process [GO:0006596]	transferase activity [GO:0016740]	GO:0006596; GO:0016740	
A0A0M0JE42	A0A0M0JE42_9EUKA	unreviewed	Uncharacterized protein	Ctob_006596	Chrysochromulina tobinii	695		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JB88	A0A0M0JB88_9EUKA	unreviewed	Uncharacterized protein	Ctob_007736	Chrysochromulina tobinii	359						
A0A0M0K952	A0A0M0K952_9EUKA	unreviewed	PH domain-containing protein (Fragment)	Ctob_013911	Chrysochromulina tobinii	575						
A0A0M0JV42	A0A0M0JV42_9EUKA	unreviewed	Uncharacterized protein	Ctob_006036	Chrysochromulina tobinii	169						
A0A0M0JS85	A0A0M0JS85_9EUKA	unreviewed	Uncharacterized protein	Ctob_009722	Chrysochromulina tobinii	206						
A0A0M0K057	A0A0M0K057_9EUKA	unreviewed	Uncharacterized protein	Ctob_003226	Chrysochromulina tobinii	484						
A0A0M0JSB5	A0A0M0JSB5_9EUKA	unreviewed	Uncharacterized protein	Ctob_004695	Chrysochromulina tobinii	354			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677	
A0A0M0KBS3	A0A0M0KBS3_9EUKA	unreviewed	PX domain-containing protein	Ctob_014870	Chrysochromulina tobinii	402			phosphatidylinositol binding [GO:0035091]	phosphatidylinositol binding [GO:0035091]	GO:0035091	
A0A0M0KBJ1	A0A0M0KBJ1_9EUKA	unreviewed	Pseudouridine synthase rlu family protein	Ctob_009932	Chrysochromulina tobinii	323	pseudouridine synthesis [GO:0001522]		pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; pseudouridine synthesis [GO:0001522]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]	GO:0001522; GO:0003723; GO:0009982	
A0A0M0JF40	A0A0M0JF40_9EUKA	unreviewed	Vacuolar sorting protein 9 domain-containing protein	Ctob_012425	Chrysochromulina tobinii	429			phosphatidylinositol binding [GO:0035091]	phosphatidylinositol binding [GO:0035091]	GO:0035091	
A0A0M0K213	A0A0M0K213_9EUKA	unreviewed	Kdel motif-containing protein 1	Ctob_013928	Chrysochromulina tobinii	428						
A0A0M0JSZ2	A0A0M0JSZ2_9EUKA	unreviewed	Succinate-semialdehyde dehydrogenase (EC 1.2.1.24)	Ctob_005178	Chrysochromulina tobinii	527	gamma-aminobutyric acid catabolic process [GO:0009450]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]	succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]	GO:0004777; GO:0005739; GO:0009450	
A0A0M0JXC3	A0A0M0JXC3_9EUKA	unreviewed	Uncharacterized protein	Ctob_013903	Chrysochromulina tobinii	45						
A0A0M0LSA7	A0A0M0LSA7_9EUKA	unreviewed	Uroporphyrinogen decarboxylase (Fragment)	Ctob_015638	Chrysochromulina tobinii	761	porphyrin-containing compound biosynthetic process [GO:0006779]		uroporphyrinogen decarboxylase activity [GO:0004853]; porphyrin-containing compound biosynthetic process [GO:0006779]	uroporphyrinogen decarboxylase activity [GO:0004853]	GO:0004853; GO:0006779	
A0A0M0K6H4	A0A0M0K6H4_9EUKA	unreviewed	Uncharacterized protein	Ctob_016540	Chrysochromulina tobinii	299						
A0A0M0K8N8	A0A0M0K8N8_9EUKA	unreviewed	Uncharacterized protein	Ctob_016531	Chrysochromulina tobinii	435						
A0A0M0LQV0	A0A0M0LQV0_9EUKA	unreviewed	Dihydrofolate reductase-like protein	Ctob_013581	Chrysochromulina tobinii	244						
A0A0M0JHJ5	A0A0M0JHJ5_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_010568	Chrysochromulina tobinii	379						
A0A0M0J4Q2	A0A0M0J4Q2_9EUKA	unreviewed	Carbohydrate sulfotransferase 15	Ctob_003604	Chrysochromulina tobinii	445			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740	
A0A0M0JID1	A0A0M0JID1_9EUKA	unreviewed	Uncharacterized protein	Ctob_006495	Chrysochromulina tobinii	303						
A0A0M0JDZ9	A0A0M0JDZ9_9EUKA	unreviewed	Uncharacterized protein	Ctob_005534	Chrysochromulina tobinii	867						
A0A0M0K9W0	A0A0M0K9W0_9EUKA	unreviewed	Uncharacterized protein	Ctob_007280	Chrysochromulina tobinii	209						
A0A0M0JMT3	A0A0M0JMT3_9EUKA	unreviewed	Calpain-type cysteine protease (Fragment)	Ctob_010297	Chrysochromulina tobinii	888			calcium-dependent cysteine-type endopeptidase activity [GO:0004198]	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]	GO:0004198	
A0A0M0JYC7	A0A0M0JYC7_9EUKA	unreviewed	Protease do-like 9-like protein	Ctob_005991	Chrysochromulina tobinii	335			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252	
A0A0M0J3Q7	A0A0M0J3Q7_9EUKA	unreviewed	Had family ia	Ctob_000919	Chrysochromulina tobinii	319			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787	
A0A0M0JAY0	A0A0M0JAY0_9EUKA	unreviewed	Uncharacterized protein	Ctob_006740	Chrysochromulina tobinii	905			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509	
A0A0M0K8U3	A0A0M0K8U3_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_015820	Chrysochromulina tobinii	254						
A0A075DWF8	A0A075DWF8_9EUKA	unreviewed	PSI-F	psaF ChtoCp_00009	Chrysochromulina tobinii	184	photosynthesis [GO:0015979]	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]		GO:0009507; GO:0009538; GO:0015979; GO:0016021	
A0A0M0J6X3	A0A0M0J6X3_9EUKA	unreviewed	Uncharacterized protein	Ctob_007682	Chrysochromulina tobinii	163						
A0A0M0JXM1	A0A0M0JXM1_9EUKA	unreviewed	Uncharacterized protein	Ctob_001819	Chrysochromulina tobinii	374						
A0A0M0J9M4	A0A0M0J9M4_9EUKA	unreviewed	Uncharacterized protein	Ctob_002881	Chrysochromulina tobinii	513						
A0A0M0J2S9	A0A0M0J2S9_9EUKA	unreviewed	Uncharacterized protein	Ctob_000132	Chrysochromulina tobinii	1954						
A0A0M0JY42	A0A0M0JY42_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_013561	Chrysochromulina tobinii	135						
A0A0M0J7X0	A0A0M0J7X0_9EUKA	unreviewed	Cs domain-containing protein (Fragment)	Ctob_007193	Chrysochromulina tobinii	787			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
